GROUPO,AÑO,MIN,MAX,MED,LAST
-2144399089,2016,"2016-01-10 00:00:00","2016-01-10 00:00:00",0.5000,360
-2143678493,2013,"2013-06-10 00:00:00","2013-08-12 00:00:00",6.4000,1241
-2143447820,2016,"2016-12-03 00:00:00","2016-12-11 00:00:00",3.0000,24
-2139060766,2016,"2016-08-03 00:00:00","2016-12-30 00:00:00",8.8235,5
-2137373722,2008,"2008-12-13 00:00:00","2008-12-28 00:00:00",1.6000,2929
-2137373722,2009,"2009-01-17 00:00:00","2009-05-16 00:00:00",10.9091,2790
-2135867850,2015,"2015-10-20 00:00:00","2015-12-01 00:00:00",3.3077,400
-2135867850,2016,"2016-02-16 00:00:00","2016-05-31 00:00:00",5.8889,218
-2133677656,2016,"2016-04-01 00:00:00","2016-04-05 00:00:00",0.3846,274
-2123500726,2016,"2016-12-08 00:00:00","2016-12-28 00:00:00",5.2500,7
-2110769486,2016,"2016-12-12 00:00:00","2016-12-12 00:00:00",1.0000,23
-2108836369,2016,"2016-03-13 00:00:00","2016-12-11 00:00:00",9.1333,24
-2092424889,2016,"2016-10-31 00:00:00","2016-12-28 00:00:00",4.5385,7
-2090563846,2016,"2016-07-18 00:00:00","2016-12-09 00:00:00",7.2500,26
-2075490840,2016,"2016-09-23 00:00:00","2016-09-23 00:00:00",1.0000,103
-2065923498,2016,"2016-11-20 00:00:00","2016-12-19 00:00:00",3.3333,16
-2061874364,2016,"2016-11-26 00:00:00","2016-11-26 00:00:00",0.5000,39
-2059896510,2015,"2015-12-28 00:00:00","2015-12-30 00:00:00",0.3750,371
-2050959275,2015,"2015-11-02 00:00:00","2015-12-01 00:00:00",5.0000,400
-2050959275,2016,"2016-01-19 00:00:00","2016-02-08 00:00:00",3.5000,331
-2041314718,2015,"2015-11-08 00:00:00","2015-12-28 00:00:00",6.3750,373
-2041314718,2016,"2016-01-03 00:00:00","2016-11-07 00:00:00",18.2353,58
-2033247481,2015,"2015-10-19 00:00:00","2015-12-20 00:00:00",6.3000,381
-2033247481,2016,"2016-05-02 00:00:00","2016-07-03 00:00:00",6.3000,185
-2024134465,2016,"2016-03-11 00:00:00","2016-03-14 00:00:00",0.5000,296
-2007467591,2016,"2016-11-16 00:00:00","2016-12-21 00:00:00",6.0000,14
-1988558201,2015,"2015-09-14 00:00:00","2015-09-16 00:00:00",0.7500,476
