,value,VALOR,p
0,1,2,0
1,2,1,0
2,4,2,0
3,7,4,0
4,8,3,0
5,9,3,0
6,10,4,0
7,11,7,0
8,12,7,0
9,13,9,0
10,14,4,0
11,15,6,0
12,16,4,0
13,17,7,0
14,18,3,0
15,19,8,0
16,20,10,0
17,21,11,0
18,22,14,0
19,23,10,0
20,24,10,0
21,25,21,0
22,26,8,0
23,27,7,0
24,28,10,0
25,29,4,0
26,30,18,0
27,31,15,0
28,32,17,0
29,33,10,0
30,34,17,0
31,35,22,0
32,36,11,0
33,37,20,0
34,38,31,0
35,40,13,0
36,41,15,0
37,42,15,0
38,43,4,0
39,44,11,0
40,45,12,0
41,46,11,0
42,47,9,0
43,48,7,0
44,49,15,0
45,50,10,0
46,51,11,0
47,52,13,0
48,53,12,0
49,54,18,0
50,55,5,0
51,56,10,0
52,57,7,0
53,58,18,0
54,59,11,0
55,60,12,0
56,61,5,0
57,62,12,0
58,63,17,0
59,64,3,0
60,65,8,0
61,66,8,0
62,67,9,0
63,68,18,0
64,69,8,0
65,70,17,0
66,71,4,0
67,72,5,0
68,73,12,0
69,74,11,0
70,75,8,0
71,76,11,0
72,77,14,0
73,78,12,0
74,79,7,0
75,80,9,0
76,81,10,0
77,82,7,0
78,83,9,0
79,84,8,0
80,85,17,0
81,86,6,0
82,87,8,0
83,88,11,0
84,89,5,0
85,90,8,0
86,91,6,0
87,92,4,0
88,93,11,0
89,94,9,0
90,95,10,0
91,96,7,0
92,97,10,0
93,98,7,0
94,99,5,0
95,100,12,0
96,101,5,0
97,102,12,0
98,103,6,0
99,104,5,0
100,105,13,0
101,106,14,0
102,107,8,0
103,108,8,0
104,109,14,0
105,110,8,0
106,111,6,0
107,112,5,0
108,113,2,0
109,114,5,0
110,115,6,0
111,116,8,0
112,117,11,0
113,118,4,0
114,119,5,0
115,120,3,0
116,121,1,0
117,122,7,0
118,123,8,0
119,124,7,0
120,125,3,0
121,126,5,0
122,127,11,0
123,128,2,0
124,129,4,0
125,130,7,0
126,131,4,0
127,132,7,0
128,133,5,0
129,134,4,0
130,135,7,0
131,136,1,0
132,137,7,0
133,138,4,0
134,139,7,0
135,140,4,0
136,141,4,0
137,142,7,0
138,143,1,0
139,144,7,0
140,145,5,0
141,146,4,0
142,147,5,0
143,148,6,0
144,149,9,0
145,150,1,0
146,151,8,0
147,152,5,0
148,153,4,0
149,154,7,0
150,155,8,0
151,156,2,0
152,157,9,0
153,158,6,0
154,159,8,0
155,160,4,0
156,161,10,0
157,162,11,0
158,163,4,0
159,164,4,0
160,165,4,0
161,166,11,0
162,167,5,0
163,168,5,0
164,169,5,0
165,170,4,0
166,171,12,0
167,172,5,0
168,173,6,0
169,174,8,0
170,175,4,0
171,176,7,0
172,177,11,0
173,178,4,0
174,179,8,0
175,180,7,0
176,181,1,0
177,182,8,0
178,183,11,0
179,184,5,0
180,185,6,0
181,186,12,0
182,187,7,0
